title,tag_name,img_link
Notes on Addressing Supply Chain Vulnerabilities,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/header_blog_EKR_thumbnail_05_1400x770_200422-770x770.jpg
Latest Firefox release includes Multiple Picture-in-Picture and Total Cookie Protection,Firefox,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/cookie-header-dark-3-1400x770-1-770x770.png
Expanding Mozilla’s Boards,Leadership,none
Why I’m Joining Mozilla’s Board of Directors,Mozilla,none
Why I’m Joining Mozilla’s Board of Directors,Mozilla,none
"Next steps on trustworthy AI: transparency, bias and better data governance",Leadership,none
Mozilla Welcomes the Rust Foundation,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/Rust-Logo-416x416.png
What WebRTC means for you,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/header_blog_EKR_thumbnail_03_1400x770_200422-770x770.jpg
Mozilla’s Climate Commitments,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/01/moz_blog_header_sustainability_2020_05-1400x770-1-770x770.png
"Why getting voting right is hard, Part V: DREs (spoiler: they’re bad)",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/05/header_blog_EKR_thumbnail_05_1400x770_200422-770x770.jpg
Reimagine Open: Building a Healthier Internet,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/01/Mozilla-311x311.png
"Why getting voting right is hard, Part IV: Absentee Voting and Vote By Mail",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/header_blog_EKR_thumbnail_03_1400x770_200422-770x770.jpg
We need more than deplatforming,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/cameron-smith-9pkMcZpsezI-unsplash-scaled-1-800x800.jpg
"Why getting voting right is hard, Part III: Optical Scan",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/header_blog_EKR_thumbnail_04_1400x770_200422-770x770.jpg
Mozilla’s Vision for Trustworthy AI,Leadership,none
"Why getting voting right is hard, Part II: Hand-Counted Paper Ballots",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/header_blog_EKR_thumbnail_02_1400x770_200422-770x770.jpg
"Why getting voting right is hard, Part I: Introduction and Requirements",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/header_blog_EKR_thumbnail_04_1400x770_200422-770x770.jpg
State of Mozilla 2019-2020: Annual Impact Report,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/moz_blog_header_som_002_1200x600-660x660.jpg
Release: Mozilla’s Greenhouse Gas emissions baseline,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2021/02/moz_blog_header_sustainability_2020-11-16-800x800.png
Mozilla Reaction to U.S. v. Google,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Launching the European AI Fund,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/01/Screen-Shot-2020-01-23-at-7.43.34-AM-157x157.png
Mozilla CEO Mitchell Baker urges European Commission to seize ‘once-in-a-generation’ opportunity,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
"A look at password security, Part V:  Disk Encryption",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_05_1400x770_200422-770x770.jpg
"A look at password security, Part IV: WebAuthn",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_04_1400x770_200422-770x770.jpg
"Changing World, Changing Mozilla",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Virtual Tours of the Museum of the Fossilized Internet,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/08/moz_site_blog_header_enviromental_museum_1400x770-770x770.jpg
Fast Company Recognizes Katharina Borchert as one of the Most Creative Business People,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/08/Katherina-by-Nick-Leoni-1-540x540.jpg
Mozilla Joins New Partners to Fund Open Source Digital Infrastructure Research,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
"A look at password security, Part III: More secure login protocols",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_03_1400x770_200422-770x770.jpg
Mozilla Puts Its Trusted Stamp on VPN,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/07/new_photo_1-512x512.jpg
Sustainability needs culture change. Introducing Environmental Champions.,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/07/Mozilla-Dots-Keith-Negley-180628-800x800.png
"A look at password security, Part II: Web Sites",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_01_1400x770_200422-770x770.jpg
"Thank you, Julie Hanna",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
"A look at password security, Part I: history and background",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_04_1400x770_200422-770x770.jpg
More details on Comcast as a Trusted Recursive Resolver,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_05_1400x770_200422-770x770.jpg
Comcast’s Xfinity Internet Service Joins Firefox’s Trusted Recursive Resolver Program,Firefox News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/02/ff-blog-header-doh-1_2-660x660.jpg
We’re proud to join #StopHateForProfit,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/07/Pause_Facebook_Blog-690x690.jpg
Immigrants Remain Core to the U.S.’ Strength,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Why I’m Joining the Mozilla Board,Mozilla,none
Navrina Singh Joins the Mozilla Foundation Board of Directors,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/06/headshot_navrina_720-540x540.png
First Steps Toward Lasting Change,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Mozilla Announces Second Three COVID-19 Solutions Fund Recipients,Mozilla,none
Pocket provides fascinating reads from trusted sources in the UK with newest Firefox,Firefox News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/05/pocket_gathering_final_3000px_021-800x800.jpg
We’ve Got Work to Do,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Mozilla’s journey to environmental sustainability,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2016/11/image-463x463.png
Protecting Search and Browsing Data from Warrantless Access,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/11/congress-720x720.jpg
The USA Freedom Act and Browsing History,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_02_1400x770_200422-770x770.jpg
Request for comment: how to collaboratively make trustworthy AI a reality,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/05/Screen-Shot-2020-05-14-at-3.34.48-PM-360x360.png
"Welcome Adam Seligman, Mozilla’s new Chief Operating Officer",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
What the heck happened with .org?,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_05_1400x770_200422-770x770.jpg
Mozilla research shows some machine voices score higher than humans,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/05/voice-comparison-graph-plain-360x360.png
Mozilla announces the first three COVID-19 Solutions Fund Recipients,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
More on COVID Surveillance: Mobile Phone Location,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_05_1400x770_200422-770x770.jpg
"Contact Tracing, Governments, and Data",Internet Policy,none
Looking at designs for COVID-19 Contact Tracing Apps,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/header_blog_EKR_thumbnail_04_1400x770_200422-770x770.jpg
Which Video Call Apps Can You Trust?,News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/02-PNI@2x-800x800.jpg
Privacy Norms and the Pandemic,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/04/slack-imgs.com_-800x800.jpg
Mitchell Baker Named CEO of Mozilla,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Our Journey to a Better Internet,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Mozilla Supports the Open COVID Pledge: Making Intellectual Property Freely Available for the Fight Against COVID-19,Mozilla,none
What you need to know about Twitter on Firefox,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
MOSS launches COVID-19 Solutions Fund,News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
We’re Fixing the Internet. Join Us.,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Getting Closer on Dot Org?,Leadership,none
"Thank You, Ronaldo Lemos",Leadership,none
Mapping the power of Mozilla’s Rebel Alliance,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
What came out of Reimagine Open?,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/01/reimagine-open-800x800.jpg
ICANN Directors: Take a Close Look at the Dot Org Sale,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/01/Screen-Shot-2020-01-23-at-7.43.34-AM-157x157.png
Readying for the Future at Mozilla,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Expanding Mozilla’s Boards in 2020,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/01/Screen-Shot-2020-01-08-at-3.55.38-PM-345x345.png
"New Year, New Rights: What to know about California’s new privacy law",Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2020/01/ccpa-eye_orange2-770x770.png
More Questions About .org,Leadership,none
Keeping the Internet Open & Accessible To All As It Evolves: Mozilla Research Grants,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/01/FF58_Moz.org_PR-blog-header-02-661x661.png
Firefox Announces New Partner in Delivering Private and Secure DNS Services to Users,Firefox News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/05/browsefreely-03-800x800.png
Petitioning for rehearing in Mozilla v. FCC,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2017/12/moz_podcast_IRL_EP02_net-neutrality-630x630.png
Questions About .org,Leadership,none
Mozilla and the Contract for the Web,Leadership,none
Mozilla and BMZ Announce Cooperation to Open Up Voice Technology for African Languages,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/11/Hackathon_Kigali_Kelly_Davis-800x800.png
State of Mozilla 2018: Annual Report,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/11/2018-SOM-Blog-Image-e1574709880864-481x481.jpg
Can Your Holiday Gift Spy on You?,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/11/03_PNI-twitter-800x800.jpg
"New Bytecode Alliance Brings the Security, Ubiquity, and Interoperability of the Web to the World of Pervasive Computing",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/11/bytecode_alliance_featured-image-770x770.jpg
Asking Congress to Examine the Data Practices of Internet Service Providers,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/11/congress-720x720.jpg
Facebook Is Still Failing at Ad Transparency (No Matter What They Claim),Mozilla,none
Longtime Mozilla board member Bob Lisbonne moves from Foundation to Corporate Board; Outgoing CEO Chris Beard Corporate Board Term Ends,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
"Nate Weiner, formerly CEO of Pocket, to take expanded role at Mozilla focused on New Markets",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Breaking down this week’s net neutrality court decision,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2017/12/moz_podcast_IRL_EP02_net-neutrality-630x630.png
Firefox and Tactical Tech Bring The Glass Room to San Francisco,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/09/people-at-the-google-piece-800x800.jpg
"Introducing ‘Stealing Ur Feelings,’ an Interactive Documentary About Big Tech, AI, and You",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/09/1-yX2Q02h-540x540.gif
Examining AI’s Effect on Media and Truth,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/09/1-C2ngCFOZmfB8LEhV_BVgyw-238x238.png
My Next Chapter,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
"Thank you, Chris",Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Mozilla takes action to protect users in Kazakhstan,Mozilla,none
Empowering voters to combat election manipulation ,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/01_misinformation-campaign-graphic-608x608.jpg
Mozilla’s Latest Research Grants: Prioritizing Research for the Internet,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/12/Screenshot-2018-12-17-19.35.47-800x800.png
Mozilla joins brief for protection of LGBTQ employees from discrimination,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
"We asked, you answered: The future of the web should be private",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/06/ReimagineOpenResults1-350x350.jpg
"The web the world needs can be ours again, if we want it",Firefox,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/06/Join-Firefox-Blog-Image-536x536.jpg
"“We believe the internet can be better,” Mozilla to the International Grand Committee",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Emblematic Group and Mozilla Team Up to Showcase Next Generation of Storytelling on the Web,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/05/Screenshot-2019-05-22-14.19.24-800x800.png
"Google’s Ad API is Better Than Facebook’s, But…",Mozilla,none
The Firefox EU Elections Toolkit helps you to prevent pre-vote online manipulation,Firefox,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/05/EU_manipulation_Blog_Header-660x660.jpg
$2.4 Million in Prizes for Schools Teaching Ethics Alongside Computer Science,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/04/Twitter_Graphic1-512x512.jpg
Facebook’s Ad Archive API is Inadequate,Mozilla,none
Firefox and Emerging Markets Leadership,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
It’s Complicated: Mozilla’s 2019 Internet Health Report,Leadership,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/04/IHR2019_decentralization-16-9-logo-800x800.jpg
The Bug in Apple’s Latest Marketing Campaign,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/04/iPhone.original-600x600.jpg
EU Parliament Elections:  why it matters and what you can do to fight back against manipulation,Firefox,none
Facebook and Google: This is What an Effective Ad Archive API Looks Like,Mozilla,none
Is the future of the web open?,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/03/reimagine-open-512x512.png
"Welcome Lindsey Shepard, VP Product Marketing",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
"Thank you, Denelle Dixon",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Apply for a Mozilla Fellowship,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/03/Fellowship-Recruitment-logo-800x800.jpg
Sharing our Common Voices – Mozilla releases the largest to-date public domain transcribed voice dataset,News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/CV-Dataset-static-graphic-2x-800x800.jpg
Facebook Answers Mozilla’s Call to Deliver Open Ad API Ahead of EU Election,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Retailers: All We Want for Valentine’s Day is Basic Security,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/01-dont-spy-twitter-800x800.png
"Open Letter: Facebook, Do Your Part Against Disinformation",Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/01_misinformation-campaign-graphic-608x608.jpg
Mozilla Heads to Capitol Hill to Defend Net Neutrality,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2017/12/moz_podcast_IRL_EP02_net-neutrality-630x630.png
Does Your Sex Toy Use Encryption?,News,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/03-website-mockup-medium-800x800.png
Putting Users and Publishers at the Center of the Online Value Exchange,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2018/03/Pasted-image-at-2018_03_07-09_16-PM-660x660.png
Mozilla Argues Net Neutrality Case before the D.C. Court of Appeals,Internet Policy,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/02/Screen-Shot-2019-02-13-at-7.36.23-AM-345x345.png
Mozilla Raises Concerns Over Facebook’s Lack of Transparency,Mozilla,none
Mozilla Fosters the Next Generation of Women in Emerging Technologies,Mozilla,https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/wp-content/blogs.dir/278/files/2019/01/VR-illo-glow-w-spin-540x540.gif
The Coral Project is Moving to Vox Media,Mozilla,none
